,16.3,CSS,Fixed MediaQueryList.matches to update the parent document layout for viewport-dependent media queries.,,
,16.3,CSS,Fixed transfers of min and max sizes for CSS aspect-ratio to be constrained by defined sizes.,,
,16.3,CSS,Fixed gap to be accounted for by using the unclamped subgrid track sizes to compute track positions.,,
,16.3,CSS,Fixed calculating block size to use the correct box-sizing.,,
,16.3,CSS,Fixed the transferred min and max sizes to be constrained by defined sizes.,,
,16.3,CSS,Fixed: Use intrinsic ratio of replaced elements when computing flex sizes.,,
,16.3,CSS,Fixed negative content sizes when using box-sizing: border-box with border and padding.,,
,16.3,CSS,Fixed setting scrollTop on a fixed element with overflow breaking scrolling on a page with overscroll-behavior: none.,,
,16.3,Rendering,Fixed replaced elements with aspect ratio and size in one dimension to respect the min and max constraints in the opposite dimension.,,
,16.3,Web API,Fixed decompressing content downloaded via fetch() with Content-Encoding: gzip set.,,
,16.3,Web API,Fixed downloads served from a service worker that uses preload.,,
,16.3,Web API,Fixed: Added an error event when link preload fails synchronously.,,
,16.3,Web API,Fixed Cross-Origin-Embedder-Policy incorrectly blocking scripts.,,
,16.3,Web API,Fixed Authorization header used for subsequent 301 redirects when the request header changes.,,
,16.3,Web API,Fixed showing a dialog element when the target is a shadow host with a focus delegates.,,
,16.3,Content Security Policy,Added support for the prefetch-src directive.,,
,16.3,Content Security Policy,Fixed: Check for strict-dynamic in script-src and default-src directives.,,
,16.3,Content Security Policy,Fixed: Added an error event when Content Security Policy blocks inline stylesheets.,,
,16.3,Media,Fixed web audio becoming garbled with switching from speakers to headphones.,,
,16.3,Media,Fixed video track’s size settings in the second MediaStream created when the aspectRatio constraint is applied.,,
,16.3,Media,Fixed showing Media Session API artwork.,,
,16.3,Media,Fixed “A MediaStreamTrack ended due to a capture failure” error when selecting bluetooth headphones as an audio input device.,,
,16.3,Media,Fixed WebVTT styles to apply with in-band tracks.,,
,16.3,Media,Fixed alternate VPx codec names to support vp8.0 and vp9.0.,,
,16.3,SVG,Fixed MouseClick offsetX and offsetY on a foreign object in an SVG to be relative to the element rather than relative to the SVG container.,,
